Id,Name,Latitude,Longitude,L1,L2,L3,L4,L5,L6,L7,L8,L9S,L9N,L10,L11,L12
94,Onze de Setembre,41.429731,2.193617,,,,,,,,,,2,2,,
95,Pàdua,41.403512,2.142752,,,,,,,3,,,,,,
96,Palau Reial,41.386297,2.118786,,,2,,,,,,,,,,
97,Paral·lel,41.376144,2.168781,,1,10,,,,,,,,,,
98,Parc Logístic,41.3411,2.12636,,,,,,,,,9,,,,
99,Parc Nou,41.3167,2.08786,,,,,,,,,4,,,,
100,Passeig de Gràcia,41.39,2.167778,,4,14,10,,,,,,,,,
101,Penitents,41.417222,2.141111,,,19,,,,,,,,,,
102,Pep Ventura,41.444383,2.238331,,17,,,,,,,,,,,
103,Plaça de Sants,41.375417,2.135653,10,,,,9,,,,,,,,
104,Plaça del Centre,41.381889,2.135889,,,5,,,,,,,,,,
105,Plaça Molina,41.401389,2.1475,,,,,,,4,,,,,,
106,Poble Sec,41.374964,2.160494,,,9,,,,,,,,,,
107,Poblenou,41.403333,2.202778,,,,17,,,,,,,,,
108,Provença,41.392765,2.158055,,,,,,7,6,,,,,,
109,Pubilla Cases,41.373058,2.106056,,,,,6,,,,,,,,
110,Rambla Just Oliveras,41.364292,2.101056,4,,,,,,,,,,,,
111,Reina Elisenda,41.398738,2.118932,,,,,,,,,,,,,2
112,Rocafort,41.378889,2.154444,13,,,,,,,,,,,,
113,Roquetes,41.446667,2.175556,,,25,,,,,,,,,,
114,Sagrada Família,41.404528,2.174492,,7,,,15,,,,,,,,
115,Sant Boi,41.348133,2.043219,,,,,,,,2,,,,,
116,Sant Andreu,41.435961,2.19125,25,,,,,,,,,,,,
117,Sant Antoni,41.3788,2.16296,,2,,,,,,,,,,,
118,Sant Gervasi,41.400833,2.146944,,,,,,5,,,,,,,
119,Sant Ildefons,41.363333,2.084167,,,,,3,,,,,,,,
120,Sant Josep,41.360556,2.110556,,,,,,,,6,,,,,
121,Sant Martí,41.4175,2.198333,,11,,,,,,,,,,,
122,Sant Pau | Dos de Maig,41.411,2.176,,,,,16,,,,,,,,
123,Sant Roc,41.435156,2.2275,,15,,,,,,,,,,,
124,Santa Coloma,41.451111,2.2075,29,,,,,,,,,,,,
125,Santa Eulàlia,41.368333,2.1275,8,,,,,,,,,,,,
126,Santa Rosa,41.446667,2.215833,,,,,,,,,,5,,,
127,Sants Estació,41.379167,2.140278,,,6,,10,,,,,,,,
128,Sarrià,41.398611,2.125278,,,,,,1,,,,,,,1
129,Selva de Mar,41.408408,2.209764,,,,18,,,,,,,,,
130,Singuerlín,41.459444,2.205556,,,,,,,,,,8,,,
131,Tarragona,41.378172,2.145564,,,7,,,,,,,,,,
132,Tetuan,41.394775,2.171178,,5,,,,,,,,,,,
133,Torras i Bages,41.4419,2.19056,26,,,,,,,,,,,,
134,Torrassa,41.368611,2.116111,7,,,,,,,,13,,,,
135,Torre del Baró | Vallbona,41.461556,2.180542,,,,,,,,,,,,3,
136,Trinitat Nova,41.448889,2.1825,,,26,1,,,,,,,,1,
137,Trinitat Vella,41.4491,2.19368,27,,,,,,,,,,,,
138,Universitat,41.385517,2.163778,15,3,,,,,,,,,,,
139,Urgell,41.3822,2.15889,14,,,,,,,,,,,,
140,Urquinaona,41.389303,2.173436,17,,,11,,,,,,,,,
141,Vall d'Hebron,41.424722,2.141667,,,20,,26,,,,,,,,
142,Vallcarca,41.41175,2.144944,,,18,,,,,,,,,,
143,Valldaura,41.438056,2.156667,,,23,,,,,,,,,,
144,Verdaguer,41.400006,2.168572,,,,8,14,,,,,,,,
145,Verneda,41.4294,2.20972,,13,,,,,,,,,,,
146,Via Júlia,41.443883,2.178675,,,,2,,,,,,,,,
147,Vilapicina,41.4303,2.16806,,,,,22,,,,,,,,
148,Virrei Amat,41.4303,2.17472,,,,,21,,,,,,,,
149,Zona Universitària,41.384444,2.112,,,1,,,,,,15,,,,
